sno,MedName,LocA,LocB,LocC,LocD
634,   Myofen,82348,46258,91552,68725
635,   Premobil,37302,82845,107114,102629
636,   Tricofen (600 mg),77600,47740,51199,61425
637, Alfam,98693,111458,38752,23418
638, Bren,66779,108041,25500,72114
639, Bren,60564,109656,65730,39410
640, Bren,49706,51111,59385,59770
641, Bren (100 mg),79340,44203,56747,110941
642, Bren (200 mg),80122,29873,93732,39956
643, Bren (400 mg),78253,59759,100185,80692
644, Brufen,95718,46567,59935,33557
645, Brufen (400 mg),14363,26947,87096,41349
646, Brufen (600 mg),101446,32898,45411,43634
647, Brufen Softra,28213,72535,78951,66908
648, Brutex (200 mg),103029,22088,101384,48546
649, Bufferin,43649,96857,15737,70209
650, Bufferin,72074,111502,26553,27061
651, Bufferin,26571,46825,62875,42291
652, Cipgesic,56193,46170,105649,69972
653, Cipgesic (400 mg),28535,105801,101471,48852
654, Cipgesic (600 mg),36427,64688,37113,108446
655, Elbugesic,15310,86872,21908,20808
656, Emflam (200 mg),23040,108375,92235,99343
657, Emflam (400 mg),79982,77277,75293,70247
658, Emflam (400 mg),32309,112892,110453,110613
659, Emflam (600 mg),64029,59465,100986,39426
660, Febrilix,75771,113814,84662,53584
661, Febrilix,83396,17282,99712,93266
662, Fla-4,92598,64041,22567,49811
663, Gesic,98806,51245,81381,17009
664, Ibrumac,93941,47299,93134,84873
665, Ibrumac (60 ml),85623,67478,87116,29512
666, Ibu (400 mg),31382,96400,67001,16883
667, Ibubid SR,45657,54302,48985,115162
668, Ibubid SR,55054,14133,77701,76141
669, Ibubid T.R.,105114,99827,85464,60217
670, Ibubid TR,111680,29514,94519,18863
671, Ibubid TR,85910,82331,106687,26446
672, Ibucon (400 mg),67163,38666,26386,32708
673, Ibucon (600 mg),62910,33688,51153,103441
674, Ibuf,20836,72075,34443,51023
675, Ibuflamar,109704,16243,104046,78460
676, Ibuflamar,96854,109950,46881,81541
677, Ibuflamar,22901,32863,84335,113140
678, Ibuflamar (400 mg),113443,64844,110440,25804
679, Ibuflamar (400 mg),69302,106279,79359,82008
680, Ibugard,15750,15700,83856,95929
681, Ibugesic,55539,51797,59048,104588
682, Ibugesic (400 mg),83497,72843,17214,23805
683, Ibugesic (600 mg),36601,97857,25642,21013
684, Ibugesic S.R.,83941,93695,102278,45005
685, Ibugin (200 mg),25470,39489,102509,55985
686, Ibugin (400 mg),58467,107051,47175,28680
687, Ibular,111645,18575,103750,101059
688, Ibupal,55064,89462,66680,52007
689, Ibupal (400 mg),21415,72614,113169,18597
690, Ibuprofen,111311,94519,30090,35289
691, Ibuprofen,92183,12342,23197,93127
692, Ibuprofen,59681,73829,69933,91815
693, Ibuprofen,24302,41685,109969,96338
694, Ibuprofen (200 mg),94603,37558,100009,94103
695, Ibuprofen (200 mg),28738,108445,30450,70918
696, Ibuprofen (200 mg),84606,112441,38475,50515
697, Ibuprofen (200 mg),88875,80384,96983,101538
698, Ibuprofen (200 mg),47182,85335,46406,74591
699, Ibuprofen (200 mg),66575,37903,78870,43391
700, Ibuprofen (200 mg),50305,62148,40885,23115
701, Ibuprofen (200 mg),66624,109695,66979,48664
702, Ibuprofen (200 mg),23122,44869,114654,86579
703, Ibuprofen (200 mg),59703,85267,55611,37039
704, Ibuprofen (200 mg),66269,76264,94730,94534
705, Ibuprofen (200 mg),81785,81615,39382,42803
706, Ibuprofen (200 mg),67508,34307,35698,72462
707, Ibuprofen (200 mg),106585,17310,43816,101554
708, Ibuprofen (400 mg),97549,50125,91222,67372
709, Ibuprofen (400 mg),34178,86596,98889,56088
710, Ibuprofen (400 mg),21440,54201,107891,89323
711, Ibuprofen (400 mg),29769,60463,19939,42352
712, Ibuprofen (400 mg),82653,20987,77816,40784
713, Ibuprofen (400 mg),72497,84598,59054,13742
714, Ibuprofen (400 mg),63569,58481,101690,114047
715, Ibuprofen (600 mg),55345,59770,100633,53216
716, Ibuprofen 400 mg,89446,49309,56815,44686
717, Ibuprofen 400 mg,61364,78947,113788,20091
718, Ibuprofen-400 mg,70917,76221,60641,69555
719, Iburin,105150,107677,38102,100743
720, Iburin (600 mg),89594,19872,78168,28118
721, Ibuspan SR,65950,88480,72273,17557
722, Ibuspan SR,26712,72285,29680,50527
723, Ibusynth,103985,37097,83478,92006
724, Ibusynth F,15301,54274,68961,53372
725, Ibut-200,24860,67348,18956,56014
726, Ibutos,14638,31152,109520,33926
727, Ibutos (200 mg),54380,45763,100281,50470
728, Ibutos (200 mg),81477,89131,29663,113593
729, Infen SR,68643,41620,81081,54043
730, Inflapen CR,30932,18611,73569,34483
731, Mybu,29932,99023,98087,78794
732, Myofen (400 mg),70323,53953,91535,36748
733, Norswel,86761,73896,76390,99073
734, Nuren,95548,98454,87604,101661
735, Nuren,24565,105560,66970,39896
736, Nuren,96816,109563,104004,33091
737, Nuren (400 mg),68413,31663,83349,49673
738, Premobil (60 ml),98504,25540,77599,65961
739, Premobil SR,65874,110294,24236,16217
740, Rebufen,85078,95726,92108,34472
741, Rebufen (400 mg),113624,36155,11938,99024
742, Sugafen,93153,115414,97845,51219
743, Sugafen (400 mg),57297,117475,31617,51939
744, Sugafen 200 mg,30268,23307,70123,45869
745, Sugafen 200 mg,29431,55567,117793,54066
746, Sugafen Forte,86780,16011,96970,104440
747, Tabalon,73945,84113,52289,37776
748, Tricofen,43936,64060,100774,37791
749, Tricofen (400 mg),79279,20131,54110,68040
750, Alflox,60891,65950,31136,92655
751, Alflox Dps.,93412,51880,44595,38085
752, Bacigyl,26808,22171,57087,39718
753, Biofloxin,108653,114334,43296,101892
754, Enteroflox,103145,102803,28846,58494
755, Flox,101884,74254,98421,74353
756, Flox,117501,35601,90396,106267
757, Gyrax,95563,98141,81732,89898
758, Harflox,28189,84280,19353,21657
759, Harflox Dps,65531,28046,42117,82405
760, Loxone,101390,74365,26060,60788
761, Loxone E/E,96644,90526,56093,43330
762, Meriflox,13734,40713,31220,26174
763, Noralox,31154,88811,88351,87350
764, Norbactin,58322,51000,57688,54085
765, Norbactin,27741,49699,40926,21477
766, Norbactin Eye,102192,95295,68403,81301
767, Norbid,81988,23316,41333,51434
768, Norbid,78043,25352,49711,35547
769, Norbid,94922,41855,72512,42486
770, Nordac,21137,47070,40338,17317
771, Norflox,37309,27639,23814,26657
772, Norflox,78634,101519,89434,20628
773, Norflox,58281,100110,54917,82031
774, Norflox Eye/Ear,99633,18428,88533,62936
775, Norflox Eye/Ear,78505,49147,77871,87503
776, Norflox Eye/Ear,64899,27943,22762,26140
777, Norilet,66536,28604,21649,29143
778, Norilet,40094,61988,106481,38451
779, Norilet,32978,30351,48305,108288
780, Norilet Eye/Ear Drops,105728,88777,19477,61426
781, Norlica,102043,23610,55309,72503
782, Normax E/E,17273,69595,35589,24726
783, Nornij,109810,59813,88404,17269
784, Nornij,100939,40109,99393,75582
785, Norrit,89547,33756,22827,70646
786, Norrit Dps,102956,50386,89181,62032
787, Norspan,50248,53544,58998,102804
788, Norspan,28104,93862,68337,74986
789, Norstar,111743,101490,27428,39496
790, Nortum,20190,33550,96106,85567
791, Nortum,107920,104047,59169,30301
792, Norzen Eye Drops,98782,114954,99260,25617
793, Quinobid,65578,107701,23428,54022
794, Quinobid,76947,41743,51800,105864
795, Uflox,61804,73806,63357,65223
796, Zeflox,41756,86635,67580,76459
797, Zeflox,87130,61810,103820,65715
798, Zeflox Dps.,69666,114680,64354,50469
799, A -RET,39486,62630,68358,17478
800, A -RET (0.05%),33247,67860,79622,87860
801, A -Ret (0.1%),86317,115677,107593,82053
802, Acnex -20,80800,77128,117686,68277
803, Acno,88361,104339,47690,88782
804, Acnon,101669,28289,36947,62369
805, Acnon Gel,26468,38448,62781,75988
806, Acutret,57879,85911,30323,52449
807, Acutret (20 mg),41496,106286,21119,102653
808, Acutret (5 mg),47518,86232,68358,38371
809, Airol,109375,51849,98739,55176
810, Airol (0.5%),100479,29042,30821,23010
811, Aknoroy,34728,95167,76947,90601
812, Aknoroy (10 gm),75532,66798,74615,54333
813, Clincheek -T,82553,32658,25165,36924
814, Clincheek -T (0.05%),38717,89323,56601,32568
815, Comedolytic,62662,103217,78933,106482
816, Cutret,92132,27220,30324,20043
817, Cutret (200mg),36549,108234,95761,72481
818, Elvac-SG,105241,91463,86557,16758
819, Eudyna,50653,33705,32726,86071
820, Iret,55233,47223,42798,84542
821, Isac,53557,53891,18627,71654
822, Isac (20 mg),80487,68929,98733,30557
823, Isinim,37253,34644,48282,105709
824, Isinin,83430,97873,98767,83462
825, Isobest,99900,27795,42044,64396
826, Isobest (20 mg),17234,87258,69941,62376
827, Isofact SG (10mg),108350,97758,90491,95580
828, Isofact SG (20mg),23557,82088,39860,94646
829, Isofect,42431,89855,82927,98051
830, Isonion,114180,48456,76870,111171
831, Isonoin,77539,31980,64186,29791
832, Isopreg INJ,45624,31511,57721,75496
833, Isoret,69021,50900,69024,86317
834, Isoret (20 mg),70778,43497,61981,50569
835, Isotane SG,63593,58356,46423,23951
836, Isotane SG (20 mg),21282,57286,94211,99959
837, Isotin SG,92014,53231,62205,73666
838, Isotriz SG,86737,85826,54010,40024
839, Isotriz SG (20mg),109887,31622,96353,107470
840, Isotroin,97217,28383,84616,31711
841, Isotroin (20 mg),88145,24684,110527,65282
842, Ista 20,99815,43546,18482,24974
843, Lustre,63174,95228,116420,56965
844, Lustre Forte,81981,17420,15639,117568
845, Neutin -20,39068,43928,69376,81113
846, Nextin,94471,107856,57392,113046
847, Pinoin (0.03%),23337,63916,116070,87861
848, Pinoin (0.05%),73168,63704,48803,61952
849, Retino -A,30160,35144,42634,106339
850, Retino -A (0.5%),14530,74406,60820,12870
851, Retinol,34633,27426,101877,17484
852, Retinol (20 gm),17272,71438,98282,26366
853, Retinol 0.5%,86471,70503,70471,73599
854, Reto,97509,36608,114413,111096
855, Reto Crm,64440,61031,89616,18436
856, Retop -A,66779,40122,72992,20432
857, Retop -A (0.025),48842,23035,80311,102279
858, Retop -A (0.05%),46993,46582,68975,109423
859, Sotret,93293,67742,77740,68537
860, Sotret (20 mg),109633,77866,96281,67389
861, Teripin,83393,69781,19687,63573
862, Teripin (10 gm),67774,115047,77530,61394
863, Tintin,97167,77867,115886,54328
864, Trendis,56207,14055,44062,39698
865, Tretinac -A,93435,86239,54216,75317
866, Tretinac -A (20 gm),89414,92057,23544,23745
867, Tretiriv,107951,62936,89396,23311
868, Trion,86357,27268,86639,69209
869, Tufacne,79216,41679,81586,115172
870, Zidoin,77907,46492,100380,75396
871, Zitan (10mg),97285,88236,72962,45984
872, Zitan (20mg),87256,28054,42851,25130
873, A -1,82297,68918,107515,63614
874, Aamin 5,48347,96965,77136,22507
875, Acord 5,107925,62077,67944,105106
876, Adipin (2.5mg),25448,66777,86717,104459
877, Adipin (5 mg),112189,40083,116134,58763
878, Adopin,102574,30577,66096,56382
879, ADP (2.5mg),99201,60228,100615,42385
880, ADP (5 mg),61653,79146,56824,17877
881, Aglodepin,98606,71733,54121,48198
882, Amaday (10 mg),48639,50617,46888,54883
883, Amaday (2.5mg),46685,86136,113791,98998
884, Amaday (5 mg),89280,71024,30039,27022
885, Amanat (5mg),36158,74234,56627,32433
886, Amark -5,53480,81245,45558,83042
887, Amcard (2.5mg),60713,55542,65967,45904
888, Amcard (5 mg),62219,74100,53365,104804
889, Amchek (2.5mg),75754,58031,30231,98137
890, Amchek (5 mg),49363,55695,84109,31372
891, Amd,66116,65932,25990,62847
892, Amdepin (2.5mg),51932,51451,96830,71753
893, Amdinx (5mg),101675,14196,25859,97677
894, Amdip,64441,66663,109866,80102
895, Amdipine -5,49312,28840,24718,112843
896, Amlan,66953,108003,20860,63112
897, Amlan (5 mg),98309,112497,53879,103544
898, Amlan -S,55303,35413,95968,29325
899, Amlan -S (2.5 mg),75981,80390,108492,15289
900, Amlibon (2.5 mg),25919,58696,97641,56565
901, Amlibon (5mg),98632,81710,68752,17132
902, Amlica,110735,44231,27528,106431
903, Amlica (10 mg),106288,105011,104258,28001
904, Amlica (5 mg),42854,87129,113167,54139
905, Amlin,47650,80349,111845,16646
906, Amlip,69665,52483,76559,49024
907, Amlo (2.5 mg),34781,54047,98024,21655
908, Amlo (5 mg),103860,14551,13421,90224
909, Amlo CB,70322,70045,62791,99363
910, Amlo CB (5mg),21374,19896,22250,25893
911, Amloact (2.5mg),103224,27634,67631,87698
912, Amloact (5 mg),48883,85991,64745,73225
913, Amloapt,99761,45129,111481,102002
914, Amloat,85529,23537,75442,109013
915, Amlocom,57197,41040,80071,83238
916, Amlocom (5 mg),36998,57928,52367,90402
917, Amlocor (2.5mg),28182,91270,84351,48505
918, Amlod,72487,12791,81373,77978
919, Amlodac (2.5mg),53619,61600,116933,25051
920, Amlodip -5,26386,35280,89373,24162
921, Amlodipine,18760,55925,75701,73630
922, Amlodipine Besilate,48973,35052,93961,91523
923, Amlogard (10 mg),91655,42668,53963,56267
924, Amlogard (5mg),70687,55222,19654,65375
925, Amlogen (2.5mg),48163,85221,47753,105733
926, Amlogen (5 mg),28921,52211,50428,90558
927, Amlokan - 5,86040,75018,108361,79009
928, Amlokath,44469,65453,115012,56153
929, Amlokind (10mg),70558,68450,109984,35835
930, Amlokind (2.5mg),50391,111473,44601,105489
931, Amlokind (5 mg),92400,51943,87564,91779
932, Amlokos,92090,93667,32319,64397
933, Amlokos (10 mg),68119,112196,75983,27541
934, Amlokos (5 mg),85451,28726,112814,103710
935, Amlol,30503,16026,89628,52618
936, Amlona,100503,105960,57607,16369
937, Amlong (10 mg),105043,19006,57890,37442
938, Amlopin,81287,37487,81445,64094
939, Amlopin (10 mg),69073,61203,96451,90804
940, Amlopres (2.5mg),100802,35475,49572,78427
941, Amlor,63589,53212,103817,52895
942, Amlorid,20981,61750,76381,39159
943, Amlosafe (2.5mg),16332,24344,86889,17980
944, Amlosafe (5 mg),81487,56790,53458,19189
945, Amlostat -5,21274,39912,93718,102775
946, Amlosun (2.5 mg),60816,27228,39518,100038
947, Amlosyl (2.5mg),44054,38127,97377,55740
948, Amlosyl (5 mg),79680,89370,44507,68725
949, Amlotab,17436,114892,39253,84115
950, Amlotrac (10 mg),34163,18627,25239,29676
951, Amlotrac (20 mg),52173,29892,56270,36804
952, Amlotrac -5,83831,40307,71978,22191
953, Amlotrust,83229,76800,101167,100394
954, Amlovas (2.5 mg),106889,16454,64363,27772
955, Amlovate,51821,41424,22406,74131
956, Amlovin,92611,68968,66449,88538
957, Amlowin,33226,107588,60888,65055
958, Amloz (10 mg),47805,93456,28842,59209
959, Amloz (2.5mg),79259,77375,89999,59473
960, Amlozed,35676,59024,50417,47113
961, Amlozone,74516,85088,87940,69888
962, Amlozone (5 mg),104724,15463,97106,73857
963, Amnorm,59121,48017,33566,34292
964, Amnorm (5 mg),100784,73163,93802,76850
965, Amo,22819,77937,70153,101517
966, Amodep,76512,32341,18695,27175
967, Amodep (10 mg),28363,73060,33840,22686
968, Amom,110298,37066,114697,116454
969, Amopin 5,60399,36726,74687,18464
970, Amopine,24894,84203,66778,72730
971, Ampin,19404,59334,56610,65707
972, Ampine,14638,89524,24595,83873
973, Ampine (5 mg),33486,116953,17812,42227
974, Ampine -5mg,54494,26399,107080,77455
975, Amprez (10 mg),74019,59012,74208,51611
976, Amprez (5mg),55919,63639,26242,53511
977, Amrap - 5,96292,88037,60727,102222
978, Amsach,96285,19949,57632,70625
979, Amsach (5 mg),22799,76714,18479,81883
980, Amset,46620,28026,62408,100163
981, Amtas (2.5mg),20587,12070,109453,96157
982, Amvik -5,31588,57105,27947,105513
983, Amwa 2.5 mg,34891,26373,55908,69338
984, Amzel -5,68632,37145,40735,57804
985, Angi,30006,28398,20796,54251
986, Angicam,22420,75255,78519,90534
987, Angicam (5 mg),85929,24266,44701,51898
988, Angiguard,60871,93768,42659,41265
989, Angil 5,13193,63205,98214,66957
990, Apin,72832,16979,92138,30797
991, Arpin,115079,13769,56709,42531
992, Axcard,51012,18807,58225,90919
993, BP -Made,23526,43420,85896,104682
994, ,47884,115713,38011,70698
995, BP -Mide,58069,37765,19151,91130
996, ,62360,96129,111778,55185
997, BPC,82228,26571,21433,18359
998, Calchek (10 mg),91092,99688,61219,82163
999, Calchek (2.5mg),70698,104935,20263,85859
1000, Calock,43447,56584,84041,41864
1001, Camlo,69214,50689,44407,32685
1002, Camlo (10 mg),74046,103835,27379,94253
1003, Camlo (5 mg),113949,26669,20531,96649
1004, Camlodip (10 mg),38631,42202,103681,48064
1005, Camlodip (5 mg),58455,51823,95174,73381
1006, Card,32964,24821,95169,71661
1007, Card (5mg),110231,35194,101658,61142
1008, Cardigo 5,17711,25303,24983,36751
1009, Cardipin,54432,24010,39751,107995
1010, Cardpin,84807,28474,40423,31152
1011, Cardpin (2.5mg),21452,94927,20294,69933
1012, Cardpin (5mg),64337,97347,71779,58370
1013, Cardpin -S (2.5 mg),79331,55262,91156,109634
1014, Cardriv,98263,53862,15956,77730
1015, Carvasc,23020,56025,62761,110156
1016, CCB,33020,79714,38866,33393
1017, Console ED,80204,20351,73599,33079
1018, Console -ED (10 mg),56709,49246,108597,67968
1019, Corvadil (2.5mg),15627,112528,70956,103684
1020, Defidin,76548,54816,100794,98285
1021, Diavasc,83771,78759,76482,54258
1022, Dip,22725,23082,106021,116343
1023, Dipin -5,57832,59738,36070,112204
1024, Elso (1.25 mg),94291,57281,81146,104784
1025, Emadine,101046,100694,17153,81067
1026, Esdil,71264,107675,35595,67229
1027, Eslo (5mg),94611,29582,31928,107752
1028, Espin,96239,102990,86276,52228
1029, Exlodep,67051,100579,101903,22568
1030, Gamlo,77818,44095,59683,88742
1031, Glipin,95095,72599,86851,82991
1032, Klodip (2.5mg),96449,92531,93028,18158
1033, Klodip (5 mg),76678,94702,95868,48081
1034, Lama (2.5mg),58841,26559,34242,70123
1035, Lama (5mg),87891,102306,77799,69615
1036, Licopin,100360,44790,50000,31583
1037, Lopin (5 mg),85820,100260,39823,33542
1038, M L O,67348,41836,86632,73052
1039, Malodip,27240,62552,47604,106121
1040, Mecard (2.5 mg),101427,111959,34797,28831
1041, Mecard (5 mg),61958,74256,32702,32713
1042, Medopin,54371,53240,18174,62074
1043, Milopin,95423,63257,40990,94984
1044, Milopin (5 mg),33698,52737,45257,106038
1045, Myamlo,31460,62693,20972,99870
1046, Myodipine,74469,56531,21157,73191
1047, Myodipine (5 mg),41766,99868,43232,111812
1048, Myodura (2.5mg),23342,98718,21008,105717
1049, Myozar,107603,96828,100071,62315
1050, Nicol,114394,101278,62288,72546
1051, Nipidol,75064,82833,72825,97540
1052, Nipidol (5 mg),86670,92330,33084,30344
1053, Norvate (2.5 mg),31155,98776,33186,78677
1054, Numlo,61913,55777,42774,111775
1055, Numlo (10 mg),65970,40783,94042,95629
1056, Numlo (5 mg),36205,112887,31844,50993
1057, Odipin,54181,67809,108659,88206
1058, Odipin (10 mg),73601,82389,27922,36982
1059, Odipin (5 mg),30787,35109,22597,28803
1060, Odipine,62545,95583,78040,114423
1061, Odipine (10 mg),21284,60100,69393,94821
1062, Odipine (2.5 mg),61489,11660,86121,71793
1063, Pdpine,96741,80634,21764,30675
1064, Pinlo 2.5,54691,67120,18431,96693
1065, Primodil (10 mg),48458,99574,24319,61100
1066, Primodil (2.5mg),58487,57838,26179,100661
1067, Primodil (5 mg),15137,22759,48539,92676
1068, S -Amlosafe (1.25 mg),71218,41881,46639,24886
1069, S -Amlosafe (2.5 mg),66923,50918,39299,48763
1070, Samstar,70583,50519,36932,62523
1071, Sitelodip,28767,61599,68026,39073
1072, Stamlo (10mg),41330,15711,80106,59683
1073, Stamlo (2.5 mg),36372,94123,29780,42330
1074, Todpid,29102,96943,14868,57131
1075, Topdip (2.5mg),105596,114818,34481,74526
1076, Topdip (5 mg),94414,49050,81334,81816
1077, UDP 5,63503,68595,85023,23768
1078, Vamlo (2.5mg),46838,61853,73427,25265
1079, Vamlo (5 mg),98400,47866,89909,96126
1080, Zodipin,88059,102784,37433,39019
1081, Asoformin,67534,32113,92044,66234
1082, Asoformin SR,80620,65084,41946,47272
1083, Avimet (500 mg),43981,47590,108588,72071
1084, B Form,40060,28464,35658,43909
1085, Baymet,45319,102504,50219,95633
1086, Bemet,80531,101404,33238,61847
1087, Bigesens,52220,64152,19552,24394
1088, Bigesens (500mg),37404,46258,42362,66866
1089, Bigesens XR,90695,51535,18909,50911
1090, Bigesens XR (1 gm),26578,82856,108009,45530
1091, Bigomet,108738,60459,72000,86864
1092, Bigomet (500 mg),56813,33008,55926,10658
1093, Bigomet (500 mg),110812,43027,94590,80728
1094, Bigomet (850 mg),44124,100447,93884,77915
1095, Bigomet (850 mg),111047,31252,42482,93846
1096, Bigomet SR,32790,29775,72212,61836
1097, Bigomet SR (250 mg),73597,54468,59698,90274
1098, Bigsens -XR (500mg),43229,26925,44365,18685
1099, Cetapin,38977,81356,105651,22561
1100, Conformin,21507,63442,88082,10492
1101, Conformin SR,47855,53207,32707,46308
1102, D -Bay,35673,19961,28705,45431
1103, D Bay (850 mg),87105,50404,61035,86412
1104, D Met,33935,38032,51318,52957
1105, D -Met (500 mg),60820,18970,45728,98488
1106, D Met SR,50174,68142,36982,24661
1107, D -Met SR (850 mg),95925,73976,41099,32177
1108, Daomet -SR,81022,72274,28059,109415
1109, Diafer,16086,67430,43231,109289
1110, Diafer Forte,116443,90700,28859,111770
1111, Diafer-ER,67652,46439,39249,30033
1112, Diaformin,27410,36043,96007,14709
1113, Diaformin,41915,106876,20895,39180
1114, Diaformin (850 mg),109711,26259,12949,102036
1115, Diamet,87281,47049,27976,26068
1116, Diamet (850 mg),80940,107603,105004,96976
1117, Diamet SR,62333,101023,63307,47931
1118, Diamin,45866,61019,87802,67912
1119, Dibimet,50473,60162,48478,58962
1120, Diform,46189,43901,110860,59067
1121, Diform (850mg),103342,102668,80054,41624
1122, Dior,57797,55586,33280,69254
1123, Dokmet SR,18080,42133,81841,51215
1124,  ,43344,100258,55473,29801
1125, Duomet ER,110826,105715,77412,35289
1126, Emfor,95602,56266,81574,42289
1127, Emfor 500 SR,89007,97617,43210,25893
1128, Emnorm,50715,68335,56824,111379
1129, Emnorm (500 mg),32535,79826,20769,103159
1130, Emnorm (850 mg),61727,21674,13197,107623
1131, Etformin,110002,43378,93820,46416
1132, Eumet 500mg,54499,49118,33818,113296
1133, Eumet 850mg,25466,42854,68161,114877
1134, Exermet (500mg),93367,52162,90699,63008
1135, Formet,84783,35395,59846,63259
1136, Formet (800 mg),110586,73055,40793,104853
1137, Formet 500mg,98082,109501,76454,82884
1138, Formet 800,58293,23018,35491,101127
1139, Formin,94840,101846,26248,65461
1140, Formin (500 mg),47331,107905,19295,83619
1141, Formin (850 mg),75739,43595,100380,49621
1142, Forminal,23055,17166,93566,70239
1143, Forminal (850 mg),96395,33799,114334,87952
1144, Forminal SR,24017,107701,80256,18949
1145, Forminal SR (500mg),28764,22137,65856,108465
1146, G -Met (850mg),100373,51299,28962,70304
1147, Gamaze,98214,95457,17591,59597
1148, Getmet -SR,82709,71990,93568,89616
1149, Gluformin,37561,28697,19482,96327
1150, Glumet,109280,57346,68041,103671
1151, Glumet (850mg),28278,41294,107453,92822
1152, Glumet EXT,103759,88477,69250,100582
1153, Glumet -XR,76935,109430,78672,95667
1154, Glumin Tab,67932,22882,81532,82440
1155, Glyciphage,98302,29893,81065,85366
1156, Glyciphage (500 mg),86345,62034,26449,59999
1157, Glyciphage (850 mg),95846,59607,52953,31698
1158, Glyciphage SR,103969,54225,38060,52271
1159, Glyciz,32808,43825,46576,67879
1160, Glycomet (250 mg),77635,84652,42401,89257
1161, Glycomet (500 mg),89790,73974,66444,74976
1162, Glycomet (850 mg),87300,53643,100833,111229
1163, Glyformin,100601,83451,57833,108574
1164, Glyrep,75723,22780,71333,21851
1165, Glyrep (1000mg),103332,71766,54835,48010
1166, Glyrep XL,111810,68533,59881,105529
1167, G-Met (250mg),34402,46242,34224,62971
1168, G-Met (500mg),67357,71802,71337,26688
1169, G-Met Forte,20160,58057,57383,60345
1170, Gremet,66840,36873,38258,86370
1171, Insumet,68524,58072,20465,57932
1172, Insumet (850 mg),30404,31527,14516,33377
1173, Insumet SR,90965,76365,91618,72784
1174, Irmet,54708,27193,80103,92511
1175, K -Met SR,70760,59380,97397,82653
1176, K -Met SR (1000 mg),52082,83493,79628,67819
1177, M -Forlin,42717,31960,66368,64687
1178, M -Forlin (850 mg),82887,85795,104334,68686
1179, Matce (500mg),90401,92481,65034,22856
1180, Matee,21635,34982,46643,26095
1181, Matee (850 mg),37460,112337,110925,90105
1182, Matee SR,107024,29566,107782,17142
1183, Medformin,36319,60730,69533,54757
1184, Mefinda,16856,87786,71100,26104
1185, Mefnor,83399,71363,85106,73168
1186, Melmet,92889,95821,87126,75262
1187, Melmet SR,34303,68348,39450,111471
1188, Met -500,105751,86223,95411,90588
1189, Metafor,60557,33116,97757,57943
1190, Metal,48817,83207,78697,105630
1191, Metanorm,32517,32893,115424,65480
1192, Metchek (500 mg),108473,46105,64792,103449
1193, Metchek (850 mg),78339,39972,102237,46225
1194, Metcom,42191,24517,69383,37243
1195, Metcom (850 mg),106583,36090,28149,101600
1196, Metfor,65361,105051,110395,95206
1197, Metformin Hydrochloride,62613,81168,24161,84526
1198, Metglib,91406,66745,15510,99142
1199, Metica,103210,57639,37240,52975
1200, Metica (850 mg),88335,84451,17984,54253
1201, Metkap,19478,65811,26545,74029
1202, Metlife - 500,115071,20365,72491,58274
1203, Metlong -DS,81050,14639,48428,100957
1204, Metme,44310,54861,17727,23713
1205, Metme SR,22453,40604,50969,31934
1206, Metmin,67825,87741,108877,63346
1207, Metneed,106605,101644,79945,86169
1208, Metneed 850,85064,61572,39063,107099
1209, Metsafe,66777,35076,42690,59369
1210, Metsar SR,23201,72301,19555,84120
1211, Metwa,39834,78038,67341,113972
1212, MF -SR,108035,72013,53494,108385
1213, Minimet,84172,105915,100327,23571
1214, Minimet SR,96946,64270,54771,72387
1215, MR Met 500,14432,87897,17710,83228
1216, Nilconorm SR,111708,81626,53552,19844
1217, Obimet,92569,39817,38102,77982
1218, Okamet,23438,21893,21983,43077
1219, Omet (500 mg),92205,87623,64757,56631
1220, Omet (850 mg),20955,27809,82538,18302
1221, Ozomet,18302,49769,105408,68059
1222, Q -Met,29158,115338,69922,78402
1223, Q -Met (500mg),39286,93509,99853,117117
1224, Q -Met (850mg),74020,18628,57906,29617
1225, Q -Met XL,42815,22359,101537,78679
1226, Redidrop,47313,107179,18050,48353
1227, Redidrop SR,93617,85171,109121,80591
1228, Redidrop SR 500,72910,33644,30847,26066
1229, Roftem -SR,62743,102706,64010,49944
1230, Serformin,85924,28613,88566,84340
1231, Sumet ER,107875,59295,26681,72972
1232, Tgmet -500 SR,76307,49087,99839,67421
1233, Tgmet SR,98967,79006,56822,44242
1234, Theraformin,113607,79345,51071,83819
1235, Tormin,77842,66500,98954,44381
1236, Walaphage,26539,79407,30501,98878
1237, Walaphage (850 mg),23663,110232,68935,89249
1238, Walaphage SR,90746,49760,45254,95832
1239, Wymet,51218,43347,59414,47566
1240, Xmet,26436,85760,91593,21265
1241, Xmet (500 mg),31319,99319,75549,65959
1242, Xmet (850 mg),77147,15218,111090,51827
1243, Zetfor,73926,25287,50770,41091
1244, Zetfor (850 mg),60275,113486,24831,54294
1245, Zinimet XL (500 mg),109899,58655,74869,61767
1246, Zoform SR,115607,33080,49042,14937
1247, Zoform SR (1000 mg),67447,40628,27972,77903
1248, Zomet,81027,64215,100105,105733
1249, Zomet (850 mg),72496,54443,30239,67805
1250, Zomet SR,108189,46486,23612,46710
